Serial,en_curid
3084,52051
3084,52051
4686,87793
4156,142918
2920,64659
22908,389748
22248,15826
41324,55021
21110,16073
1e3,170974
41760,355236
5446,585102
5593,585102
4977,16024
4977,16024
699,16912
406,17304
1128,17297
1128,17297
4726,18945023
6325,164695
7408,157550
2967,188103
8704,93459
9106,558631
42784,297703
21443,422861
21710,17300
5089,17077
8334,17087
131,384492
3222,16736
22398,17121
43006,51097
21896,175863
2123,256764
405,256703
405,256703
8043,56359
2868,213874
4897,18079
4897,18079
4897,18079
21556,18079
2753,17949
115,18031
2619,17902
4604,318450
41910,70095
41281,132809
6301,37342
5518,18070
2739,18720
21036,160930
83,18023
897,162795
2022,247934
20698,247934
1197,50165
4833,17965
6288,17740
6288,17740
42681,254135
6211,18473
22468,221422
1551,362612
966,544255
40191,17914
40264,212234
40466,357363
40573,26621379
3039,88344
1218,172896
22230,62038
40779,390801
20503,63135
20823,42650
5274,20428
1991,20408
5564,72947
22316,127657
4466,439863
22393,885620
8599,20651
20451,20308
21115,306574
7321,50678
22789,703114
42294,48068
20225,187311
1009,61866
10711,61866
40327,155712
2167,169382
20864,42649
6537,19848
42315,298396
8143,1534709
4779,396454
2688,19727
2688,19727
41142,157943
42236,495224
7487,191400
1646,191847
40988,254773
12534,63375
5071,63375
40150,143712
41932,64710
40490,54449
21956,82512
42164,221389
2003,282522
30460,282522
252,882300
1465,28220
4676,21628
22179,62131
1855,323592
6189,227131
40898,574470
13,21573
952,21210
2770,233350
8130,21473
5048,648527
42368,75847
8818,63185
22232,164713
7028,22459
3666,22831
41810,146595
4414,92550
41521,185691
21442,204283
2241,780437
20785,22351
5596,475093
3481,46825
8644,240836
4983,360887
5059,537070
41983,579863
7872,396496
3416,49828
8609,182069
42334,379008
22121,24176
22704,24067
6250,152487
20467,24472
2270,24742
40683,75835
2498,23010
21009,64719
5861,1199468
41187,81469
4350,1233728
21428,80441
22467,165441
1634,253253
2269,192515
5120,24033
1162,396507
20230,1028472
2145,37067
22325,21463370
22112,69804
3714,252477
4882,393676
22126,214303
20309,362530
1992,24509
2734,7576966
4183,602032
5426,196221
22207,164378
21900,4865795
9084,209271
21648,356236
41753,37931
22157,186948
6689,23979
6689,23979
42808,24503
4335,303650
1482,81274
42916,79448
20826,744872
6792,162654
4684,26169
21703,26034
9128,556880
295,313164
2150,23475106
4625,967931
4625,967931
6199,21811584
42734,67482
8305,234542
42974,25452
8879,7577160
4933,708064
42569,44887
5648,49008
1088,50237
1088,50237
1229,333483
1304,31345045
1304,31345045
20744,333376
3e3,26161
3221,210597
3941,49720
3941,49720
3941,49720
3941,49720
4513,13722
6149,39034
6983,1151022
22878,192488
2783,140824
7067,240174
22311,2939190
1733,175146
2244,26035
8529,140752
41567,37938
20702,40112
40160,78910
1805,188548
5802,27007
6753,256599
42246,27681
42271,99340
6103,182077
2945,26743
6575,44670
7883,72586
22471,217062
8265,287410
4572,105587
3136,27791
6748,47717
468,29646
1586,145319
313,36586
6820,387419
