en_curid,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
14995351,0.0552335492669622,0.120695533583362,0.0395499488578248,0.0623934538015684,0.107057620184112,0.112853733378793,0.244459597681555,0.0903511762700307,0.0477326968973747,0.119672690078418
2731583,0.0856836843984291,0.0774723313102463,0.0406997500892538,0.134951802927526,0.047126026419136,0.190289182434845,0.182434844698322,0.0742591931453053,0.0396287040342735,0.127454480542663
23680998,0.0608974358974359,0.120726495726496,0.0213675213675214,0.0587606837606838,0.0993589743589744,0.120726495726496,0.242521367521368,0.0833333333333333,0.0373931623931624,0.15491452991453
534366,0.0599097250718096,0.105047189167009,0.0213377102995486,0.0861715223635618,0.0750923266311038,0.137874435781699,0.249487074271645,0.0681165367254822,0.0287238407878539,0.168239638900287
4429395,0.0812743823146944,0.109882964889467,0.0344603381014304,0.0650195058517555,0.102080624187256,0.128088426527958,0.230169050715215,0.081924577373212,0.0481144343302991,0.118985695708713
17782843,0.0440366972477064,0.0972477064220184,0.0155963302752294,0.0440366972477064,0.131192660550459,0.0981651376146789,0.309174311926605,0.0752293577981651,0.0587155963302752,0.126605504587156
8135890,0.0498504486540379,0.125623130608175,0.0209371884346959,0.0488534396809571,0.129611166500499,0.102691924227318,0.266201395812562,0.0588235294117647,0.0548354935194417,0.142572283150548
623737,0.0581346716854872,0.152655792555416,0.0259305729820159,0.0526976160602258,0.0903387703889586,0.141781681304893,0.230029276453367,0.0660811375993308,0.0593893768297783,0.122961104140527
2110323,0.0550397877984085,0.112732095490716,0.0225464190981432,0.0537135278514589,0.118037135278515,0.0988063660477454,0.28315649867374,0.0822281167108753,0.0444297082228117,0.129310344827586
736,0.0291095890410959,0.133561643835616,0.0228310502283105,0.0525114155251142,0.069634703196347,0.0901826484018265,0.322488584474886,0.0565068493150685,0.0342465753424658,0.188926940639269
18079,0.0422031473533619,0.102288984263233,0.0300429184549356,0.0736766809728183,0.0886981402002861,0.106580829756795,0.291845493562232,0.0493562231759657,0.0586552217453505,0.156652360515021
6844407,0.0308710033076075,0.127894156560088,0.0132304299889746,0.0319735391400221,0.130099228224917,0.0760749724366042,0.291069459757442,0.0650496141124587,0.0463065049614112,0.187431091510474
71870,0.0702554744525547,0.101277372262774,0.0364963503649635,0.0748175182481752,0.0930656934306569,0.114963503649635,0.239963503649635,0.0720802919708029,0.0483576642335766,0.148722627737226
2150841,0.0517668939863608,0.150340979541228,0.0210787352758834,0.0517668939863608,0.0957842529448233,0.137631742095474,0.23093614383137,0.0660260384376937,0.0502169869807812,0.144451332920025
7412236,0.0478624535315985,0.12546468401487,0.0302044609665428,0.0715613382899628,0.0887546468401487,0.12453531598513,0.256040892193309,0.0743494423791822,0.0408921933085502,0.140334572490706
32897,0.0597779675491033,0.10930828351836,0.0341588385994876,0.0862510674637062,0.0819812126387703,0.134927412467976,0.241673783091375,0.0802732707087959,0.0426985482493595,0.128949615713066
5792809,0.0511651469098278,0.116008105369808,0.0319148936170213,0.0764944275582573,0.105876393110436,0.117527862208713,0.262917933130699,0.0683890577507599,0.0379939209726444,0.131712259371834
21492751,0.0886278697277096,0.0763481046449546,0.0365723438334223,0.115323011211959,0.0632674853176722,0.168713294180459,0.198077949813134,0.0883609183128671,0.0323011211959423,0.132407901761879
19394613,0.0664451827242525,0.0963455149501661,0.0581395348837209,0.0747508305647841,0.106312292358804,0.117940199335548,0.240863787375415,0.0631229235880399,0.0514950166112957,0.124584717607973
307,0.0923781308914624,0.0826824670078104,0.0463237274441153,0.116078642607056,0.0581739833019122,0.170482089954215,0.195798545650417,0.0816051710207379,0.0253164556962025,0.131160786426071
168540,0.0798946444249342,0.106233538191396,0.0438981562774363,0.0842844600526778,0.0798946444249342,0.140474100087796,0.211589113257243,0.0851624231782265,0.0359964881474978,0.132572431957858
19318,0.0553191489361702,0.126063829787234,0.0329787234042553,0.073936170212766,0.0877659574468085,0.140957446808511,0.246276595744681,0.0776595744680851,0.0393617021276596,0.11968085106383
2844938,0.056,0.116571428571429,0.0274285714285714,0.0548571428571429,0.0982857142857143,0.096,0.307428571428571,0.0377142857142857,0.0308571428571429,0.174857142857143
16477368,0.0414788097385032,0.136158701532913,0.0126239855725879,0.0342651036970243,0.15419296663661,0.0640216411181244,0.295761947700631,0.060414788097385,0.0522993688007214,0.1487826871055
8239846,0.0610263522884882,0.116504854368932,0.0249653259361997,0.058252427184466,0.11373092926491,0.0998613037447989,0.281553398058252,0.072122052704577,0.042995839112344,0.128987517337032
1095706,0.0651307044749668,0.0965883916703589,0.0323438192290651,0.0770934869295525,0.0881701373504652,0.112095702259637,0.253876827647319,0.0651307044749668,0.0287992910943731,0.180770934869296
14627,0.053680981595092,0.137269938650307,0.0337423312883436,0.0636503067484663,0.0667177914110429,0.127300613496933,0.238496932515337,0.0575153374233129,0.0322085889570552,0.18941717791411
31341,0.104945717732207,0.094692400482509,0.0398069963811821,0.113992762364294,0.0609167671893848,0.156815440289505,0.185765983112183,0.0928829915560917,0.0404101326899879,0.109770808202654
1769827,0.0487329434697856,0.12280701754386,0.0389863547758285,0.0526315789473684,0.111111111111111,0.124756335282651,0.255360623781676,0.0682261208576998,0.0331384015594542,0.144249512670565
22570683,0.0735981308411215,0.107476635514019,0.0268691588785047,0.0560747663551402,0.0829439252336449,0.119158878504673,0.288551401869159,0.0677570093457944,0.0490654205607477,0.128504672897196
5422144,0.0406871609403255,0.125678119349005,0.0207956600361664,0.0361663652802893,0.122965641952984,0.0958408679927667,0.29746835443038,0.0605786618444846,0.0533453887884268,0.146473779385172
3382,0.0441176470588235,0.13375350140056,0.0210084033613445,0.0413165266106443,0.115546218487395,0.0966386554621849,0.291316526610644,0.0560224089635854,0.0427170868347339,0.157563025210084
5635,0.0697247706422018,0.114984709480122,0.053822629969419,0.0954128440366973,0.053822629969419,0.152905198776758,0.21651376146789,0.0697247706422018,0.0330275229357798,0.140061162079511
